event_id,activity,timestamp,product,shipment,transport,location,status
1,Create Product,2025-04-29 08:00:00,prod_001,,,Factory,Normal
2,Store Product,2025-04-29 08:25:00,prod_001,,,Warehouse_A,Normal
3,Create Product,2025-04-29 08:30:00,prod_002,,,Factory,Normal
4,Store Product,2025-04-29 08:58:00,prod_002,,,Warehouse_C,Normal
5,Create Product,2025-04-29 09:10:00,prod_003,,,Factory,Normal
6,Store Product,2025-04-29 09:22:00,prod_003,,,Warehouse_B,Normal
7,Create Product,2025-04-29 09:50:00,prod_004,,,Factory,Normal
8,Store Product,2025-04-29 09:58:00,prod_004,,,Warehouse_A,Normal
9,Create Product,2025-04-29 10:21:00,prod_005,,,Factory,Normal
10,Store Product,2025-04-29 10:39:00,prod_005,,,Warehouse_A,Normal
11,Create Product,2025-04-29 10:44:00,prod_006,,,Factory,Normal
12,Store Product,2025-04-29 10:51:00,prod_006,,,Warehouse_B,Normal
13,Create Product,2025-04-29 11:03:00,prod_007,,,Factory,Normal
14,Store Product,2025-04-29 11:24:00,prod_007,,,Warehouse_A,Normal
15,Create Product,2025-04-29 11:46:00,prod_008,,,Factory,Normal
16,Store Product,2025-04-29 11:57:00,prod_008,,,Warehouse_D,Normal
17,Create Product,2025-04-29 12:09:00,prod_009,,,Factory,Normal
18,Store Product,2025-04-29 12:28:00,prod_009,,,Warehouse_C,Normal
19,Create Product,2025-04-29 12:58:00,prod_010,,,Factory,Normal
20,Store Product,2025-04-29 13:03:00,prod_010,,,Warehouse_B,Normal
21,Create Product,2025-04-29 13:30:00,prod_011,,,Factory,Normal
22,Store Product,2025-04-29 13:48:00,prod_011,,,Warehouse_C,Normal
23,Create Product,2025-04-29 14:01:00,prod_012,,,Factory,Normal
24,Store Product,2025-04-29 14:10:00,prod_012,,,Warehouse_B,Normal
25,Create Product,2025-04-29 14:39:00,prod_013,,,Factory,Normal
26,Store Product,2025-04-29 14:54:00,prod_013,,,Warehouse_A,Normal
27,Create Product,2025-04-29 15:01:00,prod_014,,,Factory,Normal
28,Store Product,2025-04-29 15:18:00,prod_014,,,Warehouse_A,Normal
29,Create Product,2025-04-29 15:34:00,prod_015,,,Factory,Normal
30,Store Product,2025-04-29 15:50:00,prod_015,,,Warehouse_C,Normal
31,Create Product,2025-04-29 16:20:00,prod_016,,,Factory,Normal
32,Store Product,2025-04-29 16:26:00,prod_016,,,Warehouse_D,Normal
33,Create Product,2025-04-29 16:48:00,prod_017,,,Factory,Normal
34,Store Product,2025-04-29 16:56:00,prod_017,,,Warehouse_D,Normal
35,Create Product,2025-04-29 17:03:00,prod_018,,,Factory,Normal
36,Store Product,2025-04-29 17:25:00,prod_018,,,Warehouse_C,Normal
37,Create Product,2025-04-29 17:50:00,prod_019,,,Factory,Normal
38,Store Product,2025-04-29 18:14:00,prod_019,,,Warehouse_C,Normal
39,Create Product,2025-04-29 18:37:00,prod_020,,,Factory,Normal
40,Store Product,2025-04-29 18:48:00,prod_020,,,Warehouse_A,Normal
41,Create Product,2025-04-29 18:54:00,prod_021,,,Factory,Normal
42,Store Product,2025-04-29 19:20:00,prod_021,,,Warehouse_B,Normal
43,Create Product,2025-04-29 19:49:00,prod_022,,,Factory,Normal
